time_ps,d_topGa_min,d_GaN
0.000000000000000000e+00,2.543966190518261339e+00,1.941802900013283928e+00
1.000000000000000021e-02,2.505827851728844369e+00,1.989640919789296802e+00
2.000000000000000042e-02,2.492208401598870804e+00,1.963325263322407421e+00
3.000000000000000236e-02,2.505553462071802961e+00,1.891532692659579462e+00
4.000000000000000083e-02,2.534472353528441246e+00,1.892757810867518264e+00
5.000000000000000278e-02,2.566215422874705165e+00,1.970940070347143136e+00
6.000000000000000472e-02,2.601290262273704634e+00,2.032150165957230303e+00
7.000000000000000666e-02,2.600643000971105234e+00,2.035664887352532482e+00
8.000000000000000167e-02,2.574703606048664550e+00,1.977127898467876621e+00
9.000000000000001055e-02,2.562142539165219723e+00,1.907440311438342695e+00
1.000000000000000056e-01,2.553841428515092105e+00,1.925683798810179148e+00
1.100000000000000006e-01,2.538256875672751711e+00,1.998209839781598385e+00
1.200000000000000094e-01,2.519510587574501415e+00,2.033548482456221329e+00
1.300000000000000044e-01,2.508256271276921190e+00,2.027085863129630461e+00
1.400000000000000133e-01,2.462686476858149121e+00,1.978290218168203607e+00
1.499999999999999944e-01,2.424352354856859293e+00,1.929209548649394756e+00
1.600000000000000033e-01,2.417075830502633416e+00,1.932089381990388377e+00
1.700000000000000122e-01,2.445402850247786475e+00,1.963700758593325046e+00
1.800000000000000211e-01,2.498167379920729569e+00,1.988635270933309940e+00
1.900000000000000022e-01,2.503003911742847976e+00,1.962051473764131249e+00
2.000000000000000111e-01,2.518045470161331956e+00,1.929515510328952965e+00
2.100000000000000200e-01,2.535109224412234852e+00,1.933572212512375099e+00
2.200000000000000011e-01,2.553250182904135634e+00,1.943415376933094185e+00
2.300000000000000100e-01,2.578052756403561574e+00,1.940099672207590498e+00
2.400000000000000189e-01,2.615222427939926320e+00,1.911966340498702621e+00
2.500000000000000000e-01,2.659859278928115689e+00,1.903351524232977710e+00
2.600000000000000089e-01,2.698893420070529015e+00,1.939444109790225301e+00
2.700000000000000178e-01,2.721731292394603763e+00,1.976428901149747341e+00
2.800000000000000266e-01,2.679841549121888544e+00,1.965031305704822762e+00
2.900000000000000355e-01,2.603669043868670929e+00,1.921382149521537075e+00
2.999999999999999889e-01,2.540383123093837625e+00,1.912863244380005323e+00
3.099999999999999978e-01,2.503376884070794617e+00,1.964075202429886424e+00
